concent_id,concent,is_face_authentication_blocked,merchant_desc,merchant_dist,merchant_id,merchant_logo,merchant_nm,merchant_status,merchant_time,mobile,primary_authenticated,secondary_authenticated,ssn
16,false,true,Towne Inc,33.07,1008,http://dummyimage.com/158x105.bmp/ff4444/ffffff,Kanoodle,Open,6:41 PM,717-628-3493,true,true,304-16-5482
17,true,true,Leuschke LLC,71.2,1015,http://dummyimage.com/250x138.png/5fa2dd/ffffff,Riffpedia,Close,7:49 PM,229-734-7483,false,true,740-43-6403
18,false,false,"Jenkins, Jones and Stamm",95.85,1022,http://dummyimage.com/102x196.jpg/cc0000/ffffff,Tagfeed,Close,9:01 PM,872-121-1175,false,false,899-62-8177
19,true,true,Roob-Schaden,38.38,1005,http://dummyimage.com/207x138.jpg/cc0000/ffffff,Dabtype,Close,9:29 PM,715-777-4051,true,true,429-01-1106
20,true,true,"Schowalter, Walter and Windler",41.2,1003,http://dummyimage.com/112x215.jpg/cc0000/ffffff,Talane,Close,10:51 PM,800-856-3335,true,true,334-94-3317
21,false,false,"Harber, Will and Ziemann",55.83,1017,http://dummyimage.com/170x120.bmp/5fa2dd/ffffff,Abata,Open,7:59 PM,383-872-5085,false,true,522-64-3758
22,false,true,"Gottlieb, VonRueden and Wolff",16.7,1002,http://dummyimage.com/213x198.jpg/cc0000/ffffff,Tekfly,Close,6:50 PM,584-751-3758,true,false,727-95-9014
23,true,true,"Larson, Jerde and Turner",66.52,1009,http://dummyimage.com/156x150.jpg/dddddd/000000,Eire,Close,8:06 PM,663-817-6808,true,true,595-45-4555
24,false,true,Bruen Inc,12.93,1003,http://dummyimage.com/197x177.png/cc0000/ffffff,Trudeo,Open,10:30 PM,859-426-5901,false,false,739-42-4194
25,false,false,"Koch, Corwin and Bernhard",3.33,1023,http://dummyimage.com/227x188.jpg/dddddd/000000,Meevee,Close,6:59 PM,822-383-7343,false,false,825-64-3885
26,true,true,Fadel Inc,9.65,1023,http://dummyimage.com/238x235.jpg/5fa2dd/ffffff,Aibox,Open,10:41 PM,116-716-5999,false,true,402-74-0540
27,true,true,Kulas-Hermann,78.1,1025,http://dummyimage.com/208x129.bmp/dddddd/000000,Voomm,Open,7:13 PM,238-656-3961,true,true,496-28-0008
28,false,false,"Boyer, Cremin and Bechtelar",57.63,1004,http://dummyimage.com/178x115.bmp/dddddd/000000,Edgewire,Close,7:46 PM,746-848-3266,false,true,357-90-5147
29,false,false,"Hodkiewicz, Dickinson and Medhurst",97.8,1004,http://dummyimage.com/167x214.jpg/cc0000/ffffff,Yodel,Close,11:29 PM,584-597-7854,true,false,133-29-6943
30,false,false,Johns and Sons,12.09,1016,http://dummyimage.com/209x217.png/ff4444/ffffff,Fatz,Close,10:20 PM,454-440-7855,false,false,395-58-9172
31,true,false,Homenick-Schmidt,74.5,1019,http://dummyimage.com/245x146.bmp/5fa2dd/ffffff,Realbuzz,Close,11:22 PM,623-371-4394,true,true,151-22-5306
32,true,false,"Yundt, Strosin and Hammes",18.37,1022,http://dummyimage.com/123x126.jpg/dddddd/000000,Quimba,Close,11:10 PM,393-498-0815,false,true,609-68-1510
33,true,true,Metz Inc,81.21,1020,http://dummyimage.com/142x244.jpg/5fa2dd/ffffff,JumpXS,Close,11:10 PM,857-901-4427,true,true,485-25-5335
34,true,false,"Bailey, Kshlerin and Gottlieb",72.8,1025,http://dummyimage.com/207x239.bmp/dddddd/000000,Wordware,Open,10:27 PM,398-476-8387,false,false,169-90-0131
35,true,false,Yundt Group,37.66,1001,http://dummyimage.com/201x203.png/cc0000/ffffff,Edgeclub,Open,7:20 PM,918-714-8937,false,false,241-04-0421
36,false,true,"Boyer, McCullough and Carroll",63.14,1002,http://dummyimage.com/104x181.bmp/5fa2dd/ffffff,Quatz,Close,6:20 PM,321-756-2337,false,false,541-74-6370
37,true,false,Walter-Hahn,84.29,1005,http://dummyimage.com/132x209.bmp/5fa2dd/ffffff,Yata,Open,8:43 PM,321-268-4190,true,true,300-02-2978
38,false,false,Ullrich Group,25.17,1015,http://dummyimage.com/103x231.bmp/ff4444/ffffff,Mynte,Close,6:18 PM,848-117-6122,false,true,425-69-1960
39,false,true,"Hackett, Beer and Sawayn",15.04,1006,http://dummyimage.com/216x158.bmp/5fa2dd/ffffff,Browseblab,Open,8:22 PM,122-604-0503,true,false,607-99-9943
40,false,true,Brown and Sons,2.38,1017,http://dummyimage.com/232x204.jpg/5fa2dd/ffffff,Divavu,Close,8:50 PM,278-980-0870,false,true,524-49-2165
41,true,true,"D'Amore, Konopelski and Treutel",40.4,1013,http://dummyimage.com/245x110.bmp/cc0000/ffffff,Leexo,Open,7:27 PM,231-342-8512,false,true,698-91-7133
42,false,true,Maggio-Legros,10.42,1000,http://dummyimage.com/118x168.png/cc0000/ffffff,Centizu,Open,10:26 PM,668-921-7157,false,true,412-28-9236
43,false,true,"Jerde, Braun and Nienow",88.65,1008,http://dummyimage.com/104x121.bmp/5fa2dd/ffffff,Topicware,Open,10:33 PM,344-755-1721,true,true,342-84-8669
44,true,true,"Prohaska, Schmitt and Willms",97.57,1013,http://dummyimage.com/112x214.bmp/cc0000/ffffff,Agimba,Close,11:09 PM,363-821-0221,true,false,885-70-5176
45,true,false,Hegmann-Bashirian,60.94,1015,http://dummyimage.com/187x219.png/dddddd/000000,Buzzdog,Close,8:57 PM,437-580-0231,false,false,882-39-4354
46,true,false,Nitzsche-Reichel,93.84,1012,http://dummyimage.com/129x207.png/ff4444/ffffff,Edgeify,Open,9:36 PM,342-190-5499,false,false,228-37-8952
47,true,true,"Powlowski, Kris and Koelpin",15.06,1019,http://dummyimage.com/137x114.png/cc0000/ffffff,Npath,Open,11:00 PM,485-166-2237,false,false,717-02-2705
48,true,true,Jacobson-Rempel,54.53,1008,http://dummyimage.com/217x222.png/cc0000/ffffff,LiveZ,Open,6:44 PM,623-501-0421,true,false,414-45-0958
49,true,false,Huel Inc,28.46,1012,http://dummyimage.com/136x221.jpg/ff4444/ffffff,Wikizz,Open,6:00 PM,858-744-5107,true,true,456-02-4737
50,true,true,"Stokes, Grady and Roob",32.56,1014,http://dummyimage.com/186x118.png/dddddd/000000,LiveZ,Close,10:52 PM,519-443-8853,false,true,267-15-5188
51,true,true,Muller Group,70.77,1012,http://dummyimage.com/150x181.jpg/5fa2dd/ffffff,Lazzy,Close,7:21 PM,321-458-0708,true,true,254-05-0860
52,true,false,Mosciski and Sons,29.88,1004,http://dummyimage.com/180x179.bmp/dddddd/000000,Divanoodle,Open,11:02 PM,558-108-9097,true,false,376-69-7939
53,true,true,"Greenholt, Wolff and Murray",83.16,1000,http://dummyimage.com/103x216.bmp/ff4444/ffffff,Rhybox,Open,7:57 PM,552-755-8938,false,false,399-83-2629
54,false,true,"McKenzie, Hartmann and Kihn",26.39,1019,http://dummyimage.com/169x145.jpg/ff4444/ffffff,Tagpad,Open,6:00 PM,977-521-1948,true,true,367-74-3919
55,true,false,Conn Group,25.37,1011,http://dummyimage.com/154x191.png/dddddd/000000,Jabbersphere,Close,10:43 PM,275-437-0352,false,false,805-73-1315
56,true,false,"Roob, Kreiger and Olson",10.55,1025,http://dummyimage.com/147x182.bmp/cc0000/ffffff,Kwimbee,Open,6:42 PM,304-858-1203,false,true,537-39-1782
57,false,false,Kassulke Group,27.23,1009,http://dummyimage.com/213x230.bmp/ff4444/ffffff,Kimia,Open,9:07 PM,303-659-5470,false,false,321-56-1940
58,false,true,"Schimmel, Crooks and Hickle",66.13,1013,http://dummyimage.com/126x190.bmp/5fa2dd/ffffff,Brainverse,Close,9:35 PM,628-800-5571,false,true,329-99-6796
59,false,true,Hyatt Inc,80.6,1006,http://dummyimage.com/161x248.bmp/5fa2dd/ffffff,Realmix,Close,10:26 PM,881-702-3113,true,true,842-66-6065
60,false,true,Walker Inc,44.76,1003,http://dummyimage.com/167x130.bmp/5fa2dd/ffffff,Edgeblab,Open,10:12 PM,297-696-3260,false,true,610-87-2546
61,true,false,"Raynor, Harber and Wilderman",12.12,1007,http://dummyimage.com/136x225.png/dddddd/000000,Cogilith,Close,10:14 PM,995-292-8215,true,true,852-22-1144
62,true,false,Crooks Inc,13.92,1017,http://dummyimage.com/232x240.bmp/dddddd/000000,Snaptags,Close,6:12 PM,341-910-4820,false,false,286-20-8445
63,false,true,"Durgan, Witting and Parker",38.61,1002,http://dummyimage.com/232x193.jpg/dddddd/000000,Twitterworks,Close,11:12 PM,132-113-2387,false,true,304-46-1421
64,false,false,"Leannon, Schaden and Johns",99.35,1015,http://dummyimage.com/193x128.bmp/5fa2dd/ffffff,Blogtags,Close,8:00 PM,878-157-5593,false,false,703-87-0384
65,true,true,Zieme-Toy,19.69,1025,http://dummyimage.com/234x136.png/dddddd/000000,Thoughtbeat,Open,7:35 PM,916-469-7530,false,true,232-44-9781
66,true,false,"Quitzon, Wilkinson and Huels",42.89,1002,http://dummyimage.com/206x197.bmp/dddddd/000000,Realpoint,Close,7:08 PM,375-943-6667,false,true,541-12-9226
67,false,false,"Kiehn, Bashirian and Yundt",55.55,1019,http://dummyimage.com/145x206.bmp/cc0000/ffffff,Avamm,Open,8:09 PM,115-720-1766,false,true,420-11-3316
68,false,true,Schaden-Lubowitz,80.32,1016,http://dummyimage.com/144x248.bmp/cc0000/ffffff,Skimia,Close,9:39 PM,735-592-9931,true,true,333-51-8990
69,false,false,"Howe, Weber and Tremblay",61.24,1014,http://dummyimage.com/139x116.png/5fa2dd/ffffff,Lazzy,Open,8:00 PM,951-227-4269,false,false,773-68-4469
70,true,true,Wilkinson-Wunsch,89.14,1014,http://dummyimage.com/135x128.bmp/dddddd/000000,Rooxo,Close,7:54 PM,178-321-1229,false,true,135-74-9677
71,false,false,"Harvey, Kutch and Kling",82.12,1010,http://dummyimage.com/147x202.png/ff4444/ffffff,Myworks,Open,11:38 PM,537-376-3826,false,false,485-43-6867
72,true,false,Rice Group,82.98,1020,http://dummyimage.com/215x197.bmp/dddddd/000000,Rhyloo,Open,7:56 PM,627-413-5059,false,false,322-83-1874
73,false,true,O'Connell-Rowe,69.9,1000,http://dummyimage.com/189x146.png/5fa2dd/ffffff,Cogilith,Open,10:06 PM,265-384-2551,false,true,195-74-3070
74,true,false,"Runolfsson, McLaughlin and Gleichner",88.48,1013,http://dummyimage.com/116x134.jpg/cc0000/ffffff,Quimba,Close,10:51 PM,904-165-8973,true,true,291-29-0724
75,true,true,"Kilback, O'Kon and Hartmann",5.63,1001,http://dummyimage.com/106x184.jpg/dddddd/000000,Yakitri,Open,11:01 PM,231-914-5895,true,false,663-62-2502
76,true,true,Bauch and Sons,77.51,1013,http://dummyimage.com/209x202.png/cc0000/ffffff,Npath,Open,11:13 PM,276-876-7958,false,false,477-14-7472
77,true,false,Cruickshank Group,51.06,1005,http://dummyimage.com/137x123.jpg/5fa2dd/ffffff,Gigabox,Close,10:06 PM,416-739-1113,false,false,863-19-9197
78,true,false,Marks-Hills,1.69,1011,http://dummyimage.com/234x243.jpg/5fa2dd/ffffff,Miboo,Close,9:03 PM,349-561-2033,true,false,386-39-8576
79,true,false,Wintheiser Inc,6.32,1017,http://dummyimage.com/218x127.bmp/dddddd/000000,Topicblab,Close,11:41 PM,430-796-7236,false,true,811-73-2180
80,false,true,Dietrich Inc,36.49,1016,http://dummyimage.com/156x244.jpg/dddddd/000000,Lazz,Open,8:07 PM,361-450-8788,true,true,420-48-0888
81,false,false,Bechtelar-Kerluke,53.95,1021,http://dummyimage.com/182x182.bmp/dddddd/000000,Thoughtstorm,Close,8:47 PM,648-758-6891,true,true,601-72-0553
82,false,false,Mann-Schowalter,82.84,1023,http://dummyimage.com/114x220.png/ff4444/ffffff,Photofeed,Open,6:54 PM,997-713-3012,false,false,403-81-4331
83,false,true,"Witting, Doyle and Kozey",71.97,1007,http://dummyimage.com/229x219.bmp/ff4444/ffffff,Meembee,Close,11:07 PM,418-397-4803,true,true,212-55-4366
84,false,true,Klein-Fritsch,88.66,1020,http://dummyimage.com/146x114.png/ff4444/ffffff,Plajo,Open,11:15 PM,620-580-2451,true,false,387-30-0750
85,true,true,Padberg and Sons,30.73,1013,http://dummyimage.com/141x237.jpg/cc0000/ffffff,Einti,Open,11:02 PM,343-906-9167,true,true,515-21-0359
86,true,false,"Steuber, Reynolds and Hoppe",59.79,1009,http://dummyimage.com/200x109.bmp/ff4444/ffffff,Buzzshare,Close,9:20 PM,342-165-9253,true,true,405-91-5329
87,false,false,"Rempel, Schmidt and Buckridge",85.76,1024,http://dummyimage.com/123x191.bmp/cc0000/ffffff,Tagchat,Open,8:23 PM,419-784-7988,true,false,735-67-8480
88,true,false,Ruecker LLC,25.89,1018,http://dummyimage.com/150x199.png/5fa2dd/ffffff,Gabvine,Open,10:51 PM,174-835-6096,true,false,593-20-7858
89,true,false,Doyle-Lesch,67.42,1001,http://dummyimage.com/207x235.bmp/cc0000/ffffff,Voonyx,Open,9:35 PM,877-261-1894,false,false,495-93-3438
90,false,true,Bednar and Sons,48.34,1023,http://dummyimage.com/215x164.jpg/dddddd/000000,Topicstorm,Open,9:33 PM,293-745-9413,false,true,529-78-1583
91,true,true,Satterfield and Sons,70.16,1021,http://dummyimage.com/198x199.bmp/ff4444/ffffff,Fatz,Close,9:35 PM,401-856-8701,true,false,386-77-6743
92,true,true,Stokes-Cole,38.99,1014,http://dummyimage.com/196x119.png/5fa2dd/ffffff,Quaxo,Close,7:59 PM,748-349-8988,false,false,231-29-8638
93,false,true,Erdman-Corwin,36.27,1008,http://dummyimage.com/199x176.bmp/ff4444/ffffff,Zoomdog,Close,9:26 PM,446-119-0316,true,true,421-73-4179
94,false,false,Gleason-Crist,18.11,1011,http://dummyimage.com/183x154.png/5fa2dd/ffffff,Demizz,Open,8:51 PM,193-455-1647,false,false,410-96-9450
95,true,true,Bergnaum Group,90.34,1008,http://dummyimage.com/184x223.png/ff4444/ffffff,Mybuzz,Close,9:59 PM,581-391-1746,true,true,484-58-4435
96,true,false,Haag Group,6.4,1022,http://dummyimage.com/247x149.jpg/cc0000/ffffff,Realpoint,Open,11:35 PM,251-787-8827,true,false,585-58-1349
97,true,true,McClure-Luettgen,59.3,1006,http://dummyimage.com/205x244.bmp/cc0000/ffffff,Ailane,Close,9:15 PM,943-216-6472,true,false,338-76-4755
98,false,true,Mills and Sons,23.03,1015,http://dummyimage.com/126x188.png/dddddd/000000,Yoveo,Open,6:20 PM,799-879-7614,false,true,465-73-7089
99,false,true,Jaskolski Group,8.63,1003,http://dummyimage.com/100x225.png/ff4444/ffffff,Mymm,Close,11:36 PM,930-357-5310,true,false,329-72-4261
100,true,false,Casper-Kunde,2.82,1003,http://dummyimage.com/209x142.jpg/ff4444/ffffff,Realblab,Close,6:12 PM,143-201-6815,false,true,857-94-8723
101,true,true,Wiegand-Carter,9.21,1010,http://dummyimage.com/131x153.bmp/5fa2dd/ffffff,Cogidoo,Open,6:40 PM,198-843-1823,false,false,135-56-8538
102,false,true,"Turcotte, Purdy and Dicki",70.26,1014,http://dummyimage.com/243x160.jpg/5fa2dd/ffffff,Realblab,Close,9:36 PM,713-696-9977,false,true,115-36-4588
103,false,true,Roob-Schinner,87.51,1023,http://dummyimage.com/208x178.bmp/ff4444/ffffff,Lajo,Close,8:20 PM,720-889-4152,false,false,704-65-0279
104,false,false,Jacobs LLC,11.57,1011,http://dummyimage.com/229x152.bmp/5fa2dd/ffffff,Twitterlist,Close,6:52 PM,378-547-6033,false,false,279-50-0784
105,false,true,"Johns, Lang and Rosenbaum",15.11,1015,http://dummyimage.com/166x223.jpg/cc0000/ffffff,Livefish,Open,9:03 PM,972-747-2076,false,true,172-43-3588
106,true,true,Hudson Inc,18.44,1022,http://dummyimage.com/234x173.bmp/cc0000/ffffff,Topiclounge,Close,11:22 PM,389-213-9049,true,true,507-75-8169
107,true,true,Carter-Romaguera,40.02,1007,http://dummyimage.com/141x123.bmp/ff4444/ffffff,Kare,Open,7:57 PM,631-342-5729,false,true,288-15-0772
108,true,true,Quitzon-Dickens,10.31,1020,http://dummyimage.com/139x233.jpg/ff4444/ffffff,Quamba,Close,10:55 PM,290-869-4932,false,false,585-78-7658
109,true,true,"Abernathy, Kris and Braun",77.88,1004,http://dummyimage.com/129x175.png/cc0000/ffffff,Twitterbridge,Open,7:22 PM,625-534-2147,false,false,690-49-9349
110,false,true,Roob-Gottlieb,78.69,1006,http://dummyimage.com/113x128.png/dddddd/000000,Eayo,Open,7:44 PM,226-791-6754,true,false,683-57-0607
111,true,true,Feil Group,73.1,1002,http://dummyimage.com/137x211.bmp/ff4444/ffffff,Twimbo,Open,10:59 PM,240-877-1762,false,true,558-01-7535
112,false,true,Ferry and Sons,71.48,1022,http://dummyimage.com/147x213.jpg/cc0000/ffffff,Zoonder,Close,9:46 PM,421-339-9931,true,true,119-27-7781
113,false,true,Mayer and Sons,18.15,1009,http://dummyimage.com/153x189.png/dddddd/000000,Gigabox,Open,7:15 PM,914-136-5979,true,false,788-39-5178
114,false,true,O'Connell Inc,63.98,1005,http://dummyimage.com/189x188.png/cc0000/ffffff,Tambee,Close,11:43 PM,273-929-5961,false,true,779-40-7347
115,false,true,Dicki-Toy,49.77,1000,http://dummyimage.com/187x220.png/dddddd/000000,Vimbo,Close,7:46 PM,642-864-8756,true,false,297-41-9572
116,true,true,Green-Adams,21.13,1024,http://dummyimage.com/163x131.jpg/dddddd/000000,Topicblab,Open,7:15 PM,160-336-3492,false,true,673-21-3170
117,false,false,"Hansen, Larson and O'Connell",68.25,1022,http://dummyimage.com/172x199.jpg/5fa2dd/ffffff,Fiveclub,Open,7:43 PM,416-928-0829,false,false,550-01-4058
118,true,false,Gibson Group,64.64,1017,http://dummyimage.com/227x207.jpg/ff4444/ffffff,Tagtune,Open,6:57 PM,559-573-2437,true,true,197-64-5704
119,true,true,Blanda-Gutkowski,46.76,1017,http://dummyimage.com/144x108.png/5fa2dd/ffffff,Innotype,Close,8:56 PM,342-522-0048,false,false,193-16-2810
120,false,false,Nicolas LLC,32.14,1016,http://dummyimage.com/247x225.jpg/5fa2dd/ffffff,Aivee,Close,7:30 PM,911-755-3748,false,false,440-88-6559
121,false,true,"Howe, Farrell and Reichel",12.21,1009,http://dummyimage.com/242x130.bmp/ff4444/ffffff,Yozio,Open,8:37 PM,726-219-3980,false,false,868-60-1233
122,true,false,Renner-Hyatt,68.37,1006,http://dummyimage.com/161x234.bmp/ff4444/ffffff,Skipstorm,Close,9:28 PM,283-820-7011,true,true,407-12-1449
123,false,true,Cronin LLC,28.55,1005,http://dummyimage.com/221x101.png/ff4444/ffffff,Divape,Close,9:05 PM,724-847-3543,false,true,685-85-3670
124,false,false,"Gislason, Jacobson and Predovic",78.12,1016,http://dummyimage.com/119x104.bmp/cc0000/ffffff,Bluezoom,Open,10:01 PM,548-271-2965,true,false,774-39-9859
125,false,true,Bradtke LLC,33.63,1011,http://dummyimage.com/174x243.png/cc0000/ffffff,Realcube,Open,10:33 PM,759-674-4201,true,true,777-53-8991
126,false,false,Satterfield Group,89.13,1024,http://dummyimage.com/110x120.bmp/ff4444/ffffff,Skalith,Open,9:41 PM,610-741-8460,true,false,866-60-0044
127,true,true,Mosciski LLC,49.43,1001,http://dummyimage.com/216x247.bmp/5fa2dd/ffffff,Youtags,Open,11:31 PM,500-933-7641,true,false,819-52-3493
128,true,true,Schultz Group,49.59,1002,http://dummyimage.com/210x117.png/cc0000/ffffff,Zazio,Close,11:01 PM,600-812-2215,true,false,884-23-3429
129,false,true,Raynor and Sons,64.18,1005,http://dummyimage.com/120x193.bmp/cc0000/ffffff,Meemm,Close,6:07 PM,422-334-5243,true,false,678-79-7025
130,false,true,Reinger LLC,37.75,1007,http://dummyimage.com/179x152.bmp/5fa2dd/ffffff,Skiba,Open,8:59 PM,780-849-9714,false,true,380-21-7045
131,true,false,"Turner, Auer and Keeling",82.39,1012,http://dummyimage.com/154x115.png/5fa2dd/ffffff,Devpoint,Close,9:42 PM,824-493-8327,false,true,394-24-5268
132,false,true,"Will, Crona and Kunze",18.01,1006,http://dummyimage.com/212x131.png/cc0000/ffffff,Dynabox,Open,9:58 PM,419-906-5666,false,true,565-46-2597
133,true,false,Murphy Inc,32.5,1014,http://dummyimage.com/173x231.bmp/ff4444/ffffff,Skibox,Close,7:15 PM,892-896-9454,true,false,611-57-1741
134,true,false,Daniel and Sons,39.46,1016,http://dummyimage.com/155x243.png/cc0000/ffffff,Rhynyx,Open,10:24 PM,251-395-4189,false,true,582-77-8445
135,false,false,"Koelpin, Prohaska and Block",50.68,1014,http://dummyimage.com/125x101.jpg/ff4444/ffffff,Linklinks,Open,10:28 PM,437-618-1560,false,true,840-57-5861
136,true,false,"Rath, Wolf and Ankunding",47.88,1004,http://dummyimage.com/146x187.jpg/cc0000/ffffff,Twiyo,Close,7:49 PM,857-902-6168,false,true,291-24-6127
137,true,true,"Schaefer, Lubowitz and Wiza",89.53,1006,http://dummyimage.com/176x244.jpg/dddddd/000000,Mycat,Open,6:02 PM,207-836-0226,false,true,659-85-5113
138,true,true,"Feeney, Turner and Parker",33.0,1025,http://dummyimage.com/248x229.png/cc0000/ffffff,Wikizz,Open,11:24 PM,747-395-9968,true,false,748-22-0079
139,false,false,Deckow Group,93.94,1002,http://dummyimage.com/169x239.bmp/ff4444/ffffff,Linktype,Open,9:11 PM,247-355-9359,false,false,354-52-0072
140,false,false,"Kertzmann, Dickens and Ankunding",2.43,1007,http://dummyimage.com/142x169.bmp/ff4444/ffffff,Fivespan,Close,6:33 PM,249-649-4374,false,true,889-51-6726
141,false,true,Gutkowski-Gerlach,81.51,1016,http://dummyimage.com/221x108.png/5fa2dd/ffffff,Zazio,Open,6:56 PM,337-565-0469,false,false,194-11-6462
142,true,false,Wisoky-Kertzmann,42.82,1018,http://dummyimage.com/139x160.bmp/dddddd/000000,Mudo,Close,8:39 PM,641-731-1107,true,true,620-23-7556
143,false,true,Carroll-Rath,82.13,1000,http://dummyimage.com/141x230.png/cc0000/ffffff,Photospace,Open,9:01 PM,690-939-5045,false,false,318-17-7655
144,true,false,"Harvey, Schroeder and Wolf",50.05,1010,http://dummyimage.com/185x166.png/ff4444/ffffff,Brainverse,Close,7:17 PM,334-713-4714,true,true,332-56-5023
145,true,true,Berge-Ullrich,34.65,1002,http://dummyimage.com/164x183.bmp/5fa2dd/ffffff,Buzzbean,Close,7:38 PM,514-706-8207,false,false,621-59-3918
146,true,false,MacGyver and Sons,19.94,1002,http://dummyimage.com/211x106.bmp/ff4444/ffffff,Jayo,Close,10:24 PM,913-280-7262,false,true,327-45-6646
147,true,true,"Bode, Feeney and Zemlak",54.03,1012,http://dummyimage.com/117x109.bmp/dddddd/000000,Digitube,Close,9:40 PM,118-155-8942,true,true,245-29-2486
148,true,false,McLaughlin LLC,49.69,1017,http://dummyimage.com/226x195.png/dddddd/000000,Twinder,Close,6:36 PM,929-684-8928,true,false,587-56-0642
149,true,true,Klocko-Jakubowski,83.1,1001,http://dummyimage.com/116x168.bmp/5fa2dd/ffffff,Kwimbee,Close,10:15 PM,125-912-6829,false,true,148-56-5687
150,true,true,"Skiles, Eichmann and Lakin",40.08,1017,http://dummyimage.com/236x137.jpg/5fa2dd/ffffff,Katz,Open,8:18 PM,257-607-3565,false,true,543-13-4327
151,true,false,"Williamson, Smitham and Grimes",88.55,1023,http://dummyimage.com/134x233.bmp/cc0000/ffffff,Wordpedia,Open,6:06 PM,679-917-2919,false,false,714-44-7427
152,false,false,Toy LLC,32.69,1007,http://dummyimage.com/153x126.bmp/ff4444/ffffff,Tazz,Open,10:39 PM,554-921-4684,false,true,452-86-0206
153,true,true,Kertzmann Inc,56.5,1018,http://dummyimage.com/184x156.jpg/5fa2dd/ffffff,Midel,Close,11:44 PM,825-589-2764,true,true,571-82-1778
154,false,true,McDermott LLC,90.84,1006,http://dummyimage.com/231x214.png/dddddd/000000,Oozz,Close,7:32 PM,545-664-3825,false,true,798-59-6345
155,false,false,Brown LLC,22.75,1009,http://dummyimage.com/105x148.png/cc0000/ffffff,Ozu,Open,9:53 PM,160-986-5617,true,true,334-18-9326
156,true,true,Ledner Group,79.12,1007,http://dummyimage.com/162x248.png/cc0000/ffffff,Kazu,Close,6:24 PM,235-265-1265,false,true,400-75-6521
157,true,false,Thompson-Labadie,75.53,1017,http://dummyimage.com/138x201.bmp/cc0000/ffffff,Brightbean,Open,7:01 PM,535-988-3148,true,true,229-60-3020
158,true,false,Cummings-Ferry,41.67,1007,http://dummyimage.com/231x216.jpg/ff4444/ffffff,Dabshots,Close,6:09 PM,269-343-2379,false,false,415-37-7007
159,false,true,Kemmer-Little,29.98,1022,http://dummyimage.com/191x208.bmp/ff4444/ffffff,Tekfly,Open,9:23 PM,709-602-6212,false,false,614-47-1272
160,false,true,Gislason-McDermott,81.96,1013,http://dummyimage.com/136x141.bmp/ff4444/ffffff,Thoughtmix,Close,11:50 PM,764-380-9421,true,false,501-50-5661
161,true,true,Champlin Group,81.76,1023,http://dummyimage.com/203x179.bmp/dddddd/000000,Plajo,Open,8:45 PM,129-254-0969,true,false,103-38-5249
